row ID,Score,Phenotype,Potency,Aromatic Atoms Count,Bond Polarizabilities,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds Count,Topological Polar Surface Area,Molecular Weight,XLogP,Formal Charge,SP3 Character,Eccentric Connectivity Index,Amine
11,0,Inactive,,0,37.104175,350.4234246,8,3,11,135.48,383.1514919,-0.779,0,0.235294118,515,1
13,0,Inactive,,10,29.020519,247.7283319,5,1,2,70.68,291.1041478,0.886,0,0.135135135,306,1
29,0,Inactive,,6,12.878484,159.3130143,1,2,4,46.25,173.0607417,1.408,0,0.086956522,102,1
54,0,Inactive,,0,25.803761,201.9081367,5,5,12,88.13,189.1953457,-2.5,0,0.222222222,216,1
73,0,Inactive,,6,14.871691,161.6316991,2,3,6,52.49,167.0946287,0.522,0,0.12,140,1
140,10,Inhibitor,35.4813,12,32.048968,335.2864655,4,2,11,98.84,344.1736072,2.234,0,0.12244898,237,1
171,0,Inactive,,0,75.005417,350.8640829,7,1,20,67.41,341.1689908,1.358,0,0.230769231,392,1
188,0,Inactive,,6,12.878484,168.103241,2,3,5,66.48,189.0556563,0.644,0,0.083333333,113,1
214,0,Inactive,,6,27.341726,320.618491,5,1,11,107.77,346.1164863,3.305,0,0.11627907,326,1
310,0,Inactive,,9,14.076484,187.4812792,3,4,6,99.34,220.0847922,-1.677,0,0.071428571,210,1
313,0,Inactive,,6,20.757726,228.7814216,2,4,9,72.72,247.0975211,1.672,0,0.147058824,204,1
336,0,Inactive,,0,14.871691,110.972668,1,1,0,12.03,99.10479942,1.046,0,0.3,42,1
347,0,Inactive,,0,44.711761,237.0966048,4,1,13,53.71,221.1447201,1.47,0,0.243243243,140,1
359,10,Inhibitor,31.6228,0,17.058105,123.3291267,1,1,6,12.03,101.1204495,1.597,0,0.272727273,54,1
389,0,Inactive,,0,25.803761,192.5130652,1,1,10,12.03,157.1830497,3.662,0,0.294117647,150,1
394,0,Inactive,,0,24.937347,179.9146163,3,2,10,41.29,159.1735477,-0.383,0,0.25,139,1
399,0,Inactive,,0,17.058105,123.3291267,1,1,6,12.03,101.1204495,1.59,0,0.272727273,38,1
411,0,Inactive,,0,25.803761,202.392117,1,1,2,12.03,181.1830497,3.48,0,0.333333333,174,1
